subject,,Rebucket,,,Mseer,,,Our approach,,
,optimal cluster,purity,f-measure,cluster,purity,f-measure,cluster,purity,f-measure,cluster
Ant1,5,1,0.708,14,0.714,0.708,7,1,1,5
Ant2,6,1,0.979,7,0.756,0.711,4,1,0.987,7
Coll1,1,1,0.593,23,1,0.733,2,1,1,1
Coll2,1,1,0.64,10,1,0.786,2,1,1,1
Ivy1,1,1,1,1,1,1,1,1,1,1
Math1,2,1,1,3,0.75,0.583,3,1,0.925,3
Rhino1,1,1,0.048,41,1,0.988,2,1,1,1
Rhino2,1,1,0.053,37,1,0.857,3,1,1,1
Rhino3,1,1,0.044,44,1,0.842,2,1,1,1
